3;bus;7;7;Центр;База Строймеханизации
5;bus;9;9;Центр;Шунды
8;bus;12;12;Станкострой;Автозавод
19;bus;29;29;парк им. Кирова;Рембыттехника
22;bus;36;36;мкрн Нагорный;завод Пластмасс
35;bus;79;79;парк им. Кирова;Автозавод
74;trolleybus;6;6;Городок металлургов;Завод «Нефтемаш» / Улица Труда
75;trolleybus;7;7;Центр;Улица Труда
76;trolleybus;9;9;Посёлок Машиностроителей;Городок металлургов
84;tram;7;7;Буммаш;Сквер металлургов
86;tram;9;9;Улица Московская;Буммаш
87;tram;10;10;Сквер металлургов;Улица Ворошилова
89;tram;12;12;Улица Московская;Улица Ворошилова
